Date,NVDA,TSLA,AMD,ROKU
2023-01-03,14.3149995803833,108.0999984741211,64.0199966430664,40.560001373291016
2023-01-04,14.74899959564209,113.63999938964844,64.66000366210938,42.349998474121094
2023-01-05,14.265000343322754,110.33999633789062,62.33000183105469,42.7599983215332
2023-01-06,14.859000205993652,113.05999755859375,63.959999084472656,43.599998474121094
2023-01-09,15.628000259399414,119.7699966430664,67.23999786376953,45.189998626708984
2023-01-10,15.909000396728516,118.8499984741211,68.05000305175781,47.119998931884766
2023-01-11,16.000999450683594,123.22000122070312,69.05999755859375,48.970001220703125
2023-01-12,16.51099967956543,123.55999755859375,70.80000305175781,49.150001525878906
2023-01-13,16.89900016784668,122.4000015258789,71.0,50.81999969482422
2023-01-17,17.70199966430664,131.49000549316406,71.58999633789062,51.029998779296875
2023-01-18,17.37700080871582,128.77999877929688,70.52999877929688,50.2400016784668
2023-01-19,16.764999389648438,127.16999816894531,67.70999908447266,49.939998626708984
2023-01-20,17.839000701904297,133.4199981689453,70.06999969482422,52.38999938964844
2023-01-23,19.19300079345703,143.75,76.52999877929688,54.63999938964844
2023-01-24,19.264999389648438,143.88999938964844,74.69999694824219,52.61000061035156
2023-01-25,19.322999954223633,144.42999267578125,74.91000366210938,52.150001525878906
2023-01-26,19.802000045776367,160.27000427246094,75.16000366210938,52.58000183105469
2023-01-27,20.364999771118164,177.89999389648438,75.4000015258789,56.040000915527344
2023-01-30,19.16200065612793,166.66000366210938,72.44999694824219,54.0
2023-01-31,19.53700065612793,173.22000122070312,75.1500015258789,57.5
2023-02-01,20.94300079345703,181.41000366210938,84.63999938964844,60.04999923706055
2023-02-02,21.708999633789062,188.27000427246094,88.30999755859375,65.47000122070312
2023-02-03,21.100000381469727,189.97999572753906,86.08999633789062,62.84000015258789
2023-02-06,21.089000701904297,194.75999450683594,83.68000030517578,62.209999084472656
2023-02-07,22.17300033569336,196.80999755859375,85.91000366210938,62.5
2023-02-08,22.204999923706055,201.2899932861328,84.69000244140625,59.099998474121094
2023-02-09,22.336999893188477,207.32000732421875,83.20999908447266,54.9900016784668
2023-02-10,21.264999389648438,196.88999938964844,81.4800033569336,54.900001525878906
2023-02-13,21.788000106811523,194.63999938964844,83.12999725341797,55.36000061035156
2023-02-14,22.97100067138672,209.25,85.94999694824219,56.63999938964844
2023-02-15,22.763999938964844,214.24000549316406,85.18000030517578,63.4900016784668
2023-02-16,22.00200080871582,202.0399932861328,80.08000183105469,70.56999969482422
2023-02-17,21.38800048828125,208.30999755859375,78.5,71.55999755859375
2023-02-21,20.655000686645508,197.3699951171875,76.7699966430664,65.62999725341797
2023-02-22,20.753999710083008,200.86000061035156,76.61000061035156,68.83999633789062
2023-02-23,23.663999557495117,202.07000732421875,79.75,66.79000091552734
2023-02-24,23.285999298095703,196.8800048828125,78.08999633789062,62.650001525878906
2023-02-27,23.500999450683594,207.6300048828125,78.7699966430664,62.349998474121094
2023-02-28,23.215999603271484,205.7100067138672,78.58000183105469,64.69000244140625
2023-03-01,22.697999954223633,202.77000427246094,78.29000091552734,63.63999938964844
2023-03-02,23.31399917602539,190.89999389648438,80.44000244140625,64.02999877929688
2023-03-03,23.889999389648438,197.7899932861328,81.5199966430664,65.62000274658203
2023-03-06,23.554000854492188,193.80999755859375,81.16000366210938,63.63999938964844
2023-03-07,23.288000106811523,187.7100067138672,82.11000061035156,62.400001525878906
2023-03-08,24.180999755859375,182.0,85.37000274658203,63.2400016784668
2023-03-09,23.43600082397461,172.9199981689453,84.02999877929688,60.52000045776367
2023-03-10,22.96500015258789,173.44000244140625,82.66999816894531,59.9900016784668
2023-03-13,22.965999603271484,174.47999572753906,82.01000213623047,59.540000915527344
2023-03-14,24.062999725341797,183.25999450683594,87.44999694824219,61.709999084472656
2023-03-15,24.22800064086914,180.4499969482422,89.68000030517578,62.34000015258789
2023-03-16,25.541000366210938,184.1300048828125,96.5999984741211,65.18000030517578
2023-03-17,25.725000381469727,180.1300048828125,97.83999633789062,64.23999786376953
2023-03-20,25.899999618530273,183.25,96.80999755859375,61.81999969482422
2023-03-21,26.198999404907227,197.5800018310547,95.93000030517578,65.91000366210938
2023-03-22,26.468000411987305,191.14999389648438,97.58000183105469,62.939998626708984
2023-03-23,27.19099998474121,192.22000122070312,100.27999877929688,63.20000076293945
2023-03-24,26.77899932861328,190.41000366210938,97.94999694824219,60.0
2023-03-27,26.5310001373291,191.80999755859375,96.61000061035156,62.81999969482422
2023-03-28,26.40999984741211,189.19000244140625,94.55999755859375,60.599998474121094
2023-03-29,26.983999252319336,193.8800048828125,96.08999633789062,63.90999984741211
2023-03-30,27.382999420166016,195.27999877929688,97.87999725341797,61.619998931884766
2023-03-31,27.777000427246094,207.4600067138672,98.01000213623047,65.81999969482422
2023-04-03,27.96500015258789,194.77000427246094,96.55999755859375,65.70999908447266
2023-04-04,27.452999114990234,192.5800018310547,95.87000274658203,66.12000274658203
2023-04-05,26.881000518798828,185.52000427246094,92.55999755859375,61.27000045776367
2023-04-06,27.03700065612793,185.05999755859375,92.47000122070312,64.08000183105469
2023-04-10,27.57900047302246,184.50999450683594,95.4800033569336,64.31999969482422
2023-04-11,27.16900062561035,186.7899932861328,94.02999877929688,63.970001220703125
2023-04-12,26.4950008392334,180.5399932861328,92.33000183105469,60.470001220703125
2023-04-13,26.46299934387207,185.89999389648438,92.08999633789062,63.31999969482422
2023-04-14,26.757999420166016,185.0,91.75,61.720001220703125
2023-04-17,27.00200080871582,187.0399932861328,89.87000274658203,64.47000122070312
