Date,XLE,XOP,VDE,OIH
2023-05-02,80.51000213623047,120.4000015258789,110.66999816894531,256.75
2023-05-03,78.98999786376953,118.05000305175781,108.51000213623047,253.52999877929688
2023-05-04,78.11000061035156,116.27999877929688,107.41999816894531,254.5800018310547
2023-05-05,80.2300033569336,120.33000183105469,110.44000244140625,261.5799865722656
2023-05-08,80.2300033569336,120.66000366210938,110.51000213623047,262.1000061035156
2023-05-09,80.26000213623047,120.0,110.55999755859375,263.1300048828125
2023-05-10,79.3499984741211,119.30999755859375,109.48999786376953,259.8299865722656
2023-05-11,78.4000015258789,117.91999816894531,108.04000091552734,252.3699951171875
2023-05-12,78.5199966430664,119.0199966430664,108.29000091552734,253.0
2023-05-15,78.91999816894531,121.2699966430664,109.04000091552734,255.9199981689453
2023-05-16,76.9800033569336,117.80999755859375,106.25,249.07000732421875
2023-05-17,78.45999908447266,120.38999938964844,108.37000274658203,255.7100067138672
2023-05-18,79.02999877929688,122.80999755859375,109.22000122070312,259.260009765625
2023-05-19,79.63999938964844,123.04000091552734,109.9800033569336,260.010009765625
2023-05-22,79.30999755859375,125.18000030517578,109.94999694824219,264.8699951171875
2023-05-23,80.16000366210938,125.5,111.01000213623047,265.6499938964844
2023-05-24,80.51000213623047,126.16000366210938,111.44999694824219,267.9200134277344
2023-05-25,79.08000183105469,122.76000213623047,109.33999633789062,261.1199951171875
2023-05-26,78.7699966430664,122.33999633789062,108.87999725341797,259.79998779296875
2023-05-30,77.95999908447266,119.91999816894531,107.80000305175781,256.0299987792969
2023-05-31,76.58999633789062,118.08999633789062,105.87000274658203,246.77999877929688
