Date,XLE,XOP,VDE,OIH
2023-01-03,84.4000015258789,128.27999877929688,116.47000122070312,289.5899963378906
2023-01-04,84.38999938964844,128.72999572753906,116.68000030517578,290.6600036621094
2023-01-05,85.93000030517578,128.9199981689453,118.62999725341797,296.1400146484375
2023-01-06,87.55999755859375,131.55999755859375,120.63999938964844,305.5799865722656
2023-01-09,87.25,132.89999389648438,120.43000030517578,312.2300109863281
2023-01-10,87.87000274658203,133.35000610351562,121.43000030517578,318.05999755859375
2023-01-11,88.13999938964844,134.38999938964844,121.8499984741211,317.739990234375
2023-01-12,89.81999969482422,138.36000061035156,124.30000305175781,325.6199951171875
2023-01-13,89.94999694824219,139.08999633789062,124.56999969482422,327.94000244140625
2023-01-17,90.13999938964844,139.75,124.69999694824219,330.0899963378906
2023-01-18,88.48999786376953,137.02000427246094,122.36000061035156,316.6400146484375
2023-01-19,89.58999633789062,139.69000244140625,123.73999786376953,315.8999938964844
2023-01-20,90.4800033569336,141.6999969482422,125.33999633789062,320.510009765625
2023-01-23,90.5999984741211,143.74000549316406,125.43000030517578,318.5799865722656
2023-01-24,90.25,142.19000244140625,125.01000213623047,316.7699890136719
2023-01-25,90.26000213623047,142.0399932861328,124.93000030517578,324.8500061035156
2023-01-26,93.11000061035156,145.4499969482422,128.6999969482422,329.489990234375
2023-01-27,91.2300033569336,143.47000122070312,126.37999725341797,325.94000244140625
2023-01-30,89.13999938964844,138.8300018310547,123.52999877929688,323.1700134277344
2023-01-31,89.93000030517578,140.97000122070312,124.87999725341797,330.04998779296875
2023-02-01,88.16000366210938,137.6999969482422,122.58999633789062,327.3599853515625
2023-02-02,86.1500015258789,135.55999755859375,119.70999908447266,313.8699951171875
2023-02-03,85.95999908447266,134.9499969482422,119.44000244140625,315.67999267578125
2023-02-06,85.56999969482422,132.25999450683594,118.80000305175781,316.55999755859375
2023-02-07,88.3499984741211,137.60000610351562,122.4800033569336,323.8599853515625
2023-02-08,87.55999755859375,135.92999267578125,121.5199966430664,329.010009765625
2023-02-09,86.80999755859375,133.80999755859375,120.37000274658203,317.69000244140625
2023-02-10,90.20999908447266,140.8000030517578,125.12000274658203,329.239990234375
2023-02-13,89.9800033569336,139.82000732421875,124.62000274658203,331.44000244140625
2023-02-14,90.01000213623047,140.6300048828125,124.83000183105469,330.7200012207031
2023-02-15,88.4800033569336,138.32000732421875,122.9800033569336,326.1300048828125
2023-02-16,87.61000061035156,136.5,121.76000213623047,327.45001220703125
2023-02-17,84.48999786376953,130.6199951171875,117.29000091552734,312.4800109863281
2023-02-21,84.06999969482422,128.6699981689453,116.52999877929688,306.57000732421875
2023-02-22,83.51000213623047,128.52999877929688,115.70999908447266,297.75
2023-02-23,84.7699966430664,132.38999938964844,117.56999969482422,303.6199951171875
2023-02-24,84.66000366210938,134.1999969482422,117.87000274658203,309.95001220703125
2023-02-27,84.91000366210938,134.97000122070312,118.31999969482422,314.7300109863281
2023-02-28,83.69000244140625,132.97000122070312,116.5999984741211,310.8999938964844
2023-03-01,85.33999633789062,135.99000549316406,118.93000030517578,319.3900146484375
2023-03-02,86.08999633789062,137.85000610351562,120.12999725341797,326.05999755859375
2023-03-03,87.26000213623047,141.13999938964844,121.86000061035156,330.4100036621094
2023-03-06,87.30000305175781,138.38999938964844,121.54000091552734,329.44000244140625
2023-03-07,85.77999877929688,136.0800018310547,119.4800033569336,322.30999755859375
2023-03-08,84.9000015258789,133.97999572753906,118.19999694824219,317.05999755859375
2023-03-09,83.69999694824219,130.69000244140625,116.30000305175781,301.9800109863281
2023-03-10,82.62999725341797,128.0399932861328,114.5999984741211,294.3900146484375
2023-03-13,80.94999694824219,124.13999938964844,112.0999984741211,281.5299987792969
2023-03-14,81.75,124.94000244140625,113.0199966430664,283.4599914550781
2023-03-15,77.36000061035156,117.02999877929688,106.9800033569336,262.7099914550781
2023-03-16,78.19999694824219,120.25,108.0999984741211,265.4800109863281
2023-03-17,76.97000122070312,117.66000366210938,106.22000122070312,257.5899963378906
2023-03-20,77.69999694824219,119.41999816894531,108.5199966430664,265.45001220703125
2023-03-21,80.38999938964844,123.58000183105469,112.2300033569336,275.25
2023-03-22,78.68000030517578,120.26000213623047,109.79000091552734,265.760009765625
2023-03-23,77.58999633789062,118.4800033569336,108.23999786376953,258.6400146484375
2023-03-24,77.88999938964844,119.72000122070312,107.55000305175781,257.3800048828125
2023-03-27,79.55000305175781,123.08000183105469,109.97000122070312,268.6199951171875
2023-03-28,80.77999877929688,124.69000244140625,111.6500015258789,275.07000732421875
2023-03-29,81.9000015258789,126.11000061035156,113.26000213623047,277.3800048828125
2023-03-30,82.26000213623047,126.0,113.55999755859375,274.29998779296875
2023-03-31,82.83000183105469,127.58999633789062,114.2300033569336,277.1300048828125
2023-04-03,86.58000183105469,133.8800048828125,119.68000030517578,293.5
2023-04-04,85.01000213623047,130.8000030517578,117.33999633789062,284.1099853515625
2023-04-05,86.29000091552734,132.05999755859375,118.94000244140625,282.6700134277344
2023-04-06,84.9800033569336,130.1999969482422,117.18000030517578,278.3299865722656
2023-04-10,85.66000366210938,133.0,118.06999969482422,282.0400085449219
2023-04-11,86.47000122070312,134.83999633789062,119.13999938964844,286.19000244140625
2023-04-12,86.52999877929688,133.74000549316406,119.1500015258789,287.8500061035156
2023-04-13,87.06999969482422,134.5399932861328,119.88999938964844,288.7200012207031
2023-04-14,87.2300033569336,134.4199981689453,119.98999786376953,288.0799865722656
2023-04-17,86.19999694824219,132.00999450683594,118.58999633789062,286.67999267578125
