Date,SPY,VOO,IVV,DIA
2023-05-03,408.0199890136719,374.8800048828125,409.7200012207031,334.1099853515625
2023-05-04,405.1300048828125,372.1400146484375,406.8599853515625,331.3299865722656
2023-05-05,412.6300048828125,378.9700012207031,414.29998779296875,336.7300109863281
2023-05-08,412.739990234375,379.17999267578125,414.5199890136719,336.2200012207031
2023-05-09,410.92999267578125,377.5400085449219,412.8299865722656,335.7699890136719
2023-05-10,412.8500061035156,379.19000244140625,414.57000732421875,335.489990234375
2023-05-11,412.1300048828125,378.6600036621094,413.95001220703125,333.3299865722656
2023-05-12,411.5899963378906,378.1499938964844,413.4100036621094,333.20001220703125
2023-05-15,413.010009765625,379.4599914550781,414.7799987792969,333.7699890136719
2023-05-16,410.25,376.95001220703125,412.010009765625,330.3500061035156
2023-05-17,415.2300109863281,381.45001220703125,417.010009765625,334.6099853515625
2023-05-18,419.2300109863281,385.17999267578125,421.04998779296875,336.05999755859375
2023-05-19,418.6199951171875,384.57000732421875,420.44000244140625,334.19000244140625
2023-05-22,418.7900085449219,384.7799987792969,420.55999755859375,332.8999938964844
2023-05-23,414.0899963378906,380.4800109863281,415.9599914550781,330.6099853515625
2023-05-24,411.0899963378906,377.6300048828125,412.8399963378906,328.010009765625
2023-05-25,414.6499938964844,380.9200134277344,416.4800109863281,327.75
2023-05-26,420.0199890136719,385.8699951171875,421.95001220703125,330.8399963378906
2023-05-30,420.17999267578125,385.989990234375,422.0299987792969,330.5199890136719
2023-05-31,417.8500061035156,383.8900146484375,419.42999267578125,329.5199890136719
