Date,SPY,VOO,IVV,DIA
2023-01-03,380.82000732421875,349.989990234375,382.5299987792969,331.2200012207031
2023-01-04,383.760009765625,352.510009765625,385.510009765625,332.55999755859375
2023-01-05,379.3800048828125,348.6600036621094,381.1300048828125,329.2200012207031
2023-01-06,388.0799865722656,356.5899963378906,389.8299865722656,336.2799987792969
2023-01-09,387.8599853515625,356.3299865722656,389.55999755859375,335.2900085449219
2023-01-10,390.5799865722656,358.8699951171875,392.3599853515625,337.2300109863281
2023-01-11,395.5199890136719,363.45001220703125,397.25,339.760009765625
2023-01-12,396.9599914550781,364.80999755859375,398.79998779296875,342.0
2023-01-13,398.5,366.2300109863281,400.3699951171875,343.0400085449219
2023-01-17,397.7699890136719,365.6700134277344,399.6300048828125,339.1600036621094
2023-01-18,391.489990234375,359.7300109863281,393.3299865722656,332.9700012207031
2023-01-19,388.6400146484375,357.1400146484375,390.5299987792969,330.6300048828125
2023-01-20,395.8800048828125,363.7099914550781,397.70001220703125,333.6700134277344
2023-01-23,400.6300048828125,368.1400146484375,402.4200134277344,336.1700134277344
2023-01-24,400.20001220703125,367.75,402.1499938964844,337.1000061035156
2023-01-25,400.3500061035156,367.8800048828125,402.2200012207031,337.32000732421875
2023-01-26,404.75,371.80999755859375,406.6400146484375,339.3599853515625
2023-01-27,405.67999267578125,372.8699951171875,407.6499938964844,339.6099853515625
2023-01-30,400.5899963378906,368.2099914550781,402.4700012207031,337.05999755859375
2023-01-31,406.4800109863281,373.44000244140625,408.30999755859375,340.8299865722656
2023-02-01,410.79998779296875,377.5299987792969,412.6700134277344,340.8699951171875
2023-02-02,416.7799987792969,382.94000244140625,418.6600036621094,340.42999267578125
2023-02-03,412.3500061035156,378.8500061035156,414.3500061035156,338.9800109863281
2023-02-06,409.8299865722656,376.6600036621094,411.79998779296875,338.4800109863281
2023-02-07,415.19000244140625,381.5199890136719,417.1199951171875,341.5199890136719
2023-02-08,410.6499938964844,377.3399963378906,412.57000732421875,339.4200134277344
2023-02-09,407.0899963378906,374.1099853515625,409.07000732421875,337.0799865722656
2023-02-10,408.0400085449219,375.0199890136719,409.9599914550781,338.7300109863281
2023-02-13,412.8299865722656,379.3500061035156,414.7799987792969,342.54998779296875
2023-02-14,412.6400146484375,379.2099914550781,414.55999755859375,341.1400146484375
2023-02-15,413.9800109863281,380.4800109863281,415.8800048828125,341.6600036621094
2023-02-16,408.2799987792969,375.19000244140625,410.2799987792969,337.3900146484375
2023-02-17,407.260009765625,374.2200012207031,409.1400146484375,338.2900085449219
2023-02-21,399.0899963378906,366.7900085449219,401.0299987792969,331.25
2023-02-22,398.5400085449219,366.3299865722656,400.3500061035156,330.5199890136719
2023-02-23,400.6600036621094,368.1700134277344,402.4599914550781,331.6700134277344
2023-02-24,396.3800048828125,364.2300109863281,398.1099853515625,328.1199951171875
2023-02-27,397.7300109863281,365.489990234375,399.5,329.05999755859375
2023-02-28,396.260009765625,364.1099853515625,397.9700012207031,326.57000732421875
2023-03-01,394.739990234375,362.7799987792969,396.54998779296875,327.0
2023-03-02,397.80999755859375,365.489990234375,399.6700134277344,330.44000244140625
2023-03-03,404.19000244140625,371.2799987792969,406.0799865722656,334.2099914550781
2023-03-06,404.4700012207031,371.7300109863281,406.5400085449219,334.67999267578125
2023-03-07,398.2699890136719,365.9800109863281,400.1300048828125,328.8699951171875
2023-03-08,398.9200134277344,366.54998779296875,400.8299865722656,328.489990234375
2023-03-09,391.55999755859375,359.8399963378906,393.4100036621094,323.0799865722656
2023-03-10,385.9100036621094,354.67999267578125,387.8800048828125,319.7300109863281
2023-03-13,385.3599853515625,354.0799865722656,387.07000732421875,318.82000732421875
2023-03-14,391.7300109863281,359.9599914550781,393.5799865722656,322.19000244140625
2023-03-15,389.2799987792969,357.739990234375,391.1600036621094,319.5400085449219
2023-03-16,396.1099853515625,363.8599853515625,397.8900146484375,323.25
2023-03-17,389.989990234375,359.8800048828125,393.1700134277344,318.5
2023-03-20,393.739990234375,363.1300048828125,397.07000732421875,322.29998779296875
2023-03-21,398.9100036621094,367.8800048828125,402.2300109863281,325.6199951171875
2023-03-22,392.1099853515625,361.7799987792969,395.489990234375,320.17999267578125
2023-03-23,393.1700134277344,362.6400146484375,394.8399963378906,320.8399963378906
2023-03-24,395.75,363.55999755859375,397.45001220703125,322.32000732421875
2023-03-27,396.489990234375,364.1600036621094,398.1400146484375,324.30999755859375
2023-03-28,395.6000061035156,363.5199890136719,397.3999938964844,323.80999755859375
2023-03-29,401.3500061035156,368.69000244140625,403.1499938964844,327.0799865722656
2023-03-30,403.70001220703125,370.8900146484375,405.3900146484375,328.4800109863281
2023-03-31,409.3900146484375,376.07000732421875,411.0799865722656,332.6199951171875
2023-04-03,410.95001220703125,377.55999755859375,412.5400085449219,335.9100036621094
2023-04-04,408.6700134277344,375.42999267578125,410.42999267578125,333.94000244140625
2023-04-05,407.6000061035156,374.5199890136719,409.4599914550781,334.82000732421875
2023-04-06,409.19000244140625,375.95001220703125,411.010009765625,334.8999938964844
2023-04-10,409.6099853515625,376.3599853515625,411.4800109863281,335.9599914550781
2023-04-11,409.7200012207031,376.4100036621094,411.4700012207031,336.8999938964844
2023-04-12,408.04998779296875,374.9100036621094,409.92999267578125,336.6099853515625
2023-04-13,413.4700012207031,379.7699890136719,415.2699890136719,340.3699951171875
2023-04-14,412.4599914550781,378.989990234375,414.25,338.8399963378906
2023-04-17,413.94000244140625,380.2799987792969,415.7799987792969,339.9200134277344
2023-04-18,414.2099914550781,380.5400085449219,416.0199890136719,339.79998779296875
